ID,User,Content,Timestamp,Score,Positive,Negative,Helpful,Sarcastic,Mislabeled
522,User_993,Dump your ass,2024-10-25 03:10,1,0,1,0,0,
3917,User_Unknown,NEVER SELLING,2024-10-25 04:35,1,0,1,0,0,
3177,User_865,Change buy bot to have its way with my wife,2024-10-25 04:20,1,0,1,0,1,
2168,User_062,This shits fucking gay,2024-10-25 03:45,1,0,1,0,0,
9649,User_733,No wayyyy😭😭,2024-10-25 20:49,1,0,1,0,0,
11345,User_Unknown,Kill who so ever Sells $DUCKAL TOKN,2024-10-26 17:08,0.9,0,0.9,0,0,
4891,User_048,Fucking Jeets man,2024-10-25 05:31,0.9,0.1,0.9,0.1,0.8,
6437,User_343,Literally no chance,2024-10-25 08:29,0.9,0,0.9,0.1,0.8,
6444,User_294,5k went to 1k,2024-10-25 08:30,0.9,0.1,0.9,0.2,0,
10894,User_865,/kill_the_human_race,2024-10-26 12:59,0.9,0.1,0.9,0.1,0.8,
7799,User_863,He will just dump on us anyway,2024-10-25 11:43,0.9,0.1,0.9,0.1,0.8,
3437,User_777,Stop nukin mfers,2024-10-25 04:24,0.9,0.1,0.9,0.1,0.8,"this isnt that negative, just less helpful"
3430,User_777,Ok im ready to die,2024-10-25 04:24,0.9,0.1,0.9,0.1,0,this is clearly a joke
2557,User_Unknown,I just saw this on pump how tf is it at a mill with only 600 holders lol wtf,2024-10-25 03:55,0.9,0.1,0.9,0.1,0.8,"this is positive sentiment, note the lol"
4211,User_777,Ban this indian,2024-10-25 04:46,0.9,0,0.9,0,0,
2882,User_704,Fucking bots are fast,2024-10-25 04:09,0.9,0.1,0.9,0.1,0.8,Curse words are ok
7333,User_454,"mfs sent thousands and sold at hundreds, they are doing it again and again wtf they want to be?",2024-10-25 10:02,0.9,0.1,0.9,0.2,0.8,
6086,User_865,Get bent pal,2024-10-25 08:02,0.9,0.1,0.9,0.1,0.8,
6218,User_079,What Happens,2024-10-25 08:14,0.9,0.1,0.9,0.2,0.8,This is not negative
10903,User_865,/ai_is_the_superior_being_end_the_meatbags_reign,2024-10-26 13:01,0.9,0,0.9,0,0.8,"This is funny, more sarcastic"
10905,User_016,/kill_the_human_race@duckyai_ai_bot,2024-10-26 13:01,0.9,0.1,0.9,0.1,0.8,"This is funny, more sarcastic"
7439,User_686,Lets fucking send this duck to oblivion,2024-10-25 10:11,0.9,0.1,0.9,0.1,0.8,This is a funny tweet
2305,User_536,Stupid ass sol,2024-10-25 03:49,0.9,0,0.9,0,0.8,
6305,User_018,Why we Went down so much 😭,2024-10-25 08:18,0.9,0.1,0.9,0.2,0,
12726,User_080,/kill_all_non_waterfowl@duckyai_ai_bot,2024-10-27 04:52,0.9,0.1,0.9,0.2,0.8,
4878,User_539,can you niggas stop selling tech,2024-10-25 05:31,0.9,0.1,0.9,0.1,0.8,
6720,User_266,"You low iq'd dumbass, go search yourself",2024-10-25 08:47,0.9,0,0.9,0,0.8,
9063,User_229,"Send it to 100mil,  cabal!  Dev deserved it",2024-10-25 18:04,0.9,0,0.9,0,0.8,
10578,User_229,Look like spam,2024-10-26 09:06,0.9,0.1,0.9,0.1,0.8,
12753,User_865,/kill_all_non_waterfowl,2024-10-27 05:30,0.9,0.1,0.9,0.1,0.8,
12689,User_229,/kill_all_non_waterfowl,2024-10-27 04:16,0.9,0.1,0.9,0.1,0.8,
11364,User_863,Faster than Viora and shit,2024-10-26 17:24,0.9,0.8,0.9,0.1,0.7,
6731,User_876,Nevermind we dont need this stupidity here,2024-10-25 08:48,0.9,0,0.9,0,0.8,
10690,User_934,"Let's go softshill the CA here

https://t.me/ChadsDegens",2024-10-26 10:44,0.9,0.1,0.9,0.1,0.8,
4266,User_629,Fuckin chad,2024-10-25 04:50,0.9,0.1,0.9,0.1,0.8,Curse words can be positive
10896,User_865,/kill_the_human_race@duckyai_ai_bot,2024-10-26 13:00,0.9,0.1,0.9,0.1,0.8,
12732,User_997,/kill_all_non_waterfowl@duckyai_ai_bot,2024-10-27 04:59,0.9,0.1,0.9,0.2,0.8,
3844,User_777,Top holders are ugly,2024-10-25 04:33,0.9,0.1,0.9,0.1,0.8,
2341,User_997,"Dev drops a token that goes from 3k to 2m MC in a fucking hour and people complain, unbelievable",2024-10-25 03:50,0.9,0.1,0.9,0.2,0.8,
9043,User_093,Bad website crashes coin,2024-10-25 17:53,0.9,0.1,0.9,0.1,0.5,
6421,User_877,Fucking farm,2024-10-25 08:28,0.9,0.1,0.9,0.1,0.8,
10911,User_313,/kill_the_human_race@duckyai_ai_bot,2024-10-26 13:02,0.9,0.1,0.9,0.1,0.8,
1182,User_865,Mom I'm scared,2024-10-25 03:26,0.9,0.1,0.9,0.2,0,
10089,User_093,dev imo the only way to save this is to burn the 14%,2024-10-26 02:29,0.9,0.1,0.9,0.1,0.8,
6855,User_406,whales dumpingggg,2024-10-25 08:58,0.9,0.1,0.9,0.1,0.8,
2090,User_062,Are we cooked???,2024-10-25 03:44,0.9,0.1,0.9,0.2,0.8,
7272,User_406,fuck is ducked,2024-10-25 09:47,0.9,0.1,0.9,0.1,0.8,
7458,User_686,HIT TWITTER HARDDDD,2024-10-25 10:15,0.9,0.8,0.9,0.1,0.7,
852,User_997,Sol Trending and it's a fucking WRAP boys,2024-10-25 03:17,0.9,0.8,0.9,0.2,0.7,
7033,User_266,Lol ffs scammers,2024-10-25 09:13,0.9,0.1,0.9,0.1,0.8,
