ID,User,Content,Timestamp,Score,Positive,Negative,Helpful,Sarcastic
11201,User_704,Let's Ducking Go! Jeeters out!,2024-10-26 15:18,1.0,1.0,0.2,0.2,0.8
11182,User_313,Great . Good project,2024-10-26 15:09,1.0,1.0,0.0,1.0,0.0
550,User_749,GET READY TO GO TO THE MOON,2024-10-25 03:11,1.0,1.0,0.0,1.0,0.0
510,User_997,This is MASSIVELY bullish,2024-10-25 03:09,1.0,1.0,0.0,0.8,0.0
502,User_993,Dev is the best dont worry,2024-10-25 03:08,1.0,1.0,0.0,1.0,0.0
2710,User_997,"Fuck yeah dude, sending this 💯🫡",2024-10-25 04:01,1.0,1.0,0.8,0.2,0.0
2673,User_343,DUCKAI is here to STAY,2024-10-25 03:59,1.0,1.0,0.0,0.8,0.0
2665,User_997,"This project is the real deal, 3k MC to 2m MC in an hour, fucking incredible 💯",2024-10-25 03:58,1.0,1.0,0.0,0.8,0.0
5833,User_541,Stay updated 💯,2024-10-25 07:32,1.0,1.0,0.0,0.8,0.0
5829,User_Unknown,That's the spirit bro,2024-10-25 07:32,1.0,1.0,0.0,0.5,0.0
5787,User_Unknown,"⚡️ let’s trust it 💯💯💯
⚡️Let's shill it.💪 💪💪
⚡️Let's spread it.💯💯💯
⚡️Let's share it.🚀🚀🚀
⚡️Let's support it.💪💔",2024-10-25 07:28,1.0,1.0,0.2,0.9,0.0
5768,User_726,Let’s goooo,2024-10-25 07:26,1.0,1.0,0.0,0.5,0.0
5766,User_Unknown,Let's make this project the best project ever 🔥,2024-10-25 07:26,1.0,1.0,0.0,1.0,0.0
5745,User_Unknown,That's good,2024-10-25 07:24,1.0,1.0,0.0,0.5,0.0
5735,User_343,The best kind of growth 👊🫡,2024-10-25 07:22,1.0,1.0,0.0,0.8,0.0
410,User_343,ONLY THE BEST FOR DUCKAI,2024-10-25 03:00,1.0,1.0,0.0,1.0,0.0
406,User_749,GUYS DEVS ARE THE BEST,2024-10-25 03:00,1.0,1.0,0.0,1.0,0.0
354,User_249,W excited for this,2024-10-25 02:54,1.0,1.0,0.0,0.8,0.0
353,User_343,We are on it rn!,2024-10-25 02:54,1.0,1.0,0.0,1.0,0.0
11764,User_343,Welcome ducklings! 🦆,2024-10-26 19:49,1.0,1.0,0.0,0.8,0.0
2987,User_198,Absolutely it will,2024-10-25 04:15,1.0,1.0,0.0,1.0,0.0
10618,User_343,WELCOME FELLOW DUCKLINGS! 🦆🥂,2024-10-26 09:17,1.0,1.0,0.0,0.8,0.0
10602,User_Unknown,I love that,2024-10-26 09:11,1.0,1.0,0.0,1.0,0.0
10583,User_Unknown,"DUCKAL WE'LL ALWAYS BE THE BEST KING IN THE SPACE 🚀🚀🚀
CHECK IT OUT",2024-10-26 09:07,1.0,1.0,0.0,0.8,0.0
6138,User_541,Hype up boys,2024-10-25 08:09,1.0,1.0,0.0,0.8,0.0
6109,User_Unknown,More positive vibes guys,2024-10-25 08:05,1.0,1.0,0.0,0.8,0.0
5995,User_964,We're growing massively 🔥,2024-10-25 07:52,1.0,1.0,0.0,0.8,0.0
10556,User_Unknown,Dope and dope bro,2024-10-26 08:58,1.0,1.0,0.0,0.5,0.0
10542,User_Unknown,We're get to the top guys 🚀🚀🚀🚀,2024-10-26 08:55,1.0,1.0,0.0,1.0,0.0
10446,User_863,Hes the greatest duck of all time,2024-10-26 08:15,1.0,1.0,0.0,0.8,0.0
247,User_749,YOU HAVE MY TRUST!,2024-10-25 02:21,1.0,1.0,0.0,1.0,0.0
244,User_749,I LOVE YOU DEVS!!!,2024-10-25 02:21,1.0,1.0,0.0,0.8,0.0
241,User_749,LFG DUDES THIS IS SO BULLISH,2024-10-25 02:21,1.0,1.0,0.0,0.8,0.0
6832,User_782,Let's fucking gooo guys,2024-10-25 08:57,1.0,1.0,0.8,0.0,0.0
6738,User_782,Only up from here,2024-10-25 08:48,1.0,1.0,0.0,1.0,0.0
6710,User_686,Perfect bounce,2024-10-25 08:46,1.0,1.0,0.0,0.5,0.0
6690,User_541,Based team 🚀,2024-10-25 08:44,1.0,1.0,0.0,0.5,0.0
6647,User_Unknown,All new members are welcome to this project,2024-10-25 08:42,1.0,1.0,0.0,1.0,0.0
5391,User_782,A based leader + A strong community 💪 = Bullish,2024-10-25 06:25,1.0,1.0,0.0,1.0,0.0
13453,User_408,You will thank me later,2024-10-27 15:54,1.0,1.0,0.0,1.0,0.0
206,User_749,THIS PROJECT IS GOING TO THE MOON TRUST ME,2024-10-25 02:11,1.0,1.0,0.0,0.8,0.0
10230,User_Unknown,All new members are welcome,2024-10-26 04:50,1.0,1.0,0.0,1.0,0.0
107,User_343,Very legit 🤝,2024-10-25 01:47,1.0,1.0,0.0,0.8,0.0
4151,User_902,🔥 2m very 🔥 soon 🔥,2024-10-25 04:43,1.0,1.0,0.0,0.0,0.0
9982,User_343,CAN IT EVEN GET MORE BULLISH 😎🔥,2024-10-26 00:53,1.0,1.0,0.0,0.8,0.2
9980,User_449,Thats the spirit 👍,2024-10-26 00:51,1.0,1.0,0.0,1.0,0.0
9962,User_343,BIG FACTS 🔥,2024-10-26 00:29,1.0,1.0,0.0,0.5,0.0
9935,User_343,WELCOME WELCOME!! 🥂🦆,2024-10-25 23:51,1.0,1.0,0.0,0.5,0.0
11924,User_343,This is fire 🔥🦆,2024-10-26 21:19,1.0,1.0,0.0,0.5,0.0
6978,User_343,It’s true 🤝,2024-10-25 09:08,1.0,1.0,0.0,0.5,0.0
